 id                  year                month               vsm-C               vsm-DC              vsm-H               
 21                  1992                9                     -3.7253513050909105E-002  -3.7253513050909105E-002  -5.4666811163831548E-002
 22                  1992                10                    -5.2870926500710833E-002  -7.2218096464542719E-002  -8.6932218821264964E-002
 23                  1992                11                    -3.3025621230412229E-002  -4.2166733874703044E-002  -4.2166733874703044E-002
 24                  1992                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 25                  1993                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 26                  1993                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 27                  1993                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 28                  1993                4                     -1.4049373541627675E-002  -1.6898685666767249E-002  -1.5201493162280057E-002
 29                  1993                5                     -1.1106641359506531E-002  -1.5607684616188160E-002  -1.0269361852873658E-002
 30                  1993                6                     -6.7228683857846541E-002  -8.3702064876178109E-002  -8.6932218821264964E-002
 31                  1993                7                    -0.39272211688605324      -0.65797255394414067       -1.1183818273549195     
 32                  1993                8                     -3.0233900656659096E-002  -2.9367276327710627E-002  -4.6387242690202661E-002
 33                  1993                9                    -0.23885852406172464      -0.41709462658493324      -0.47209240641412020     
 34                  1993                10                    -2.4748620827054858E-002  -3.4025105801257817E-002  -3.7253513050909105E-002
 35                  1993                11                    -3.5061733240203896E-002  -4.7910197424555205E-002  -5.1148641072238717E-002
 36                  1993                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 37                  1994                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 38                  1994                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 39                  1994                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 40                  1994                4                     -1.4049373541627675E-002  -1.6898685666767249E-002  -1.5201493162280057E-002
 41                  1994                5                     -1.1106641359506531E-002  -1.5607684616188160E-002  -1.0269361852873658E-002
 42                  1994                6                     -6.7228683857846541E-002  -8.3702064876178109E-002  -8.6932218821264964E-002
 43                  1994                7                    -0.39272211688605324      -0.65797255394414067       -1.1183818273549195     
 44                  1994                8                     -3.0233900656659096E-002  -2.9367276327710627E-002  -4.6387242690202661E-002
 45                  1994                9                     -3.7253513050909105E-002  -3.7253513050909105E-002  -5.4666811163831548E-002
 46                  1994                10                    -5.2870926500710833E-002  -7.2218096464542719E-002  -8.6932218821264964E-002
 47                  1994                11                    -3.3025621230412229E-002  -4.2166733874703044E-002  -4.2166733874703044E-002
 48                  1994                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 49                  1995                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 50                  1995                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 51                  1995                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 52                  1995                4                     -1.0680073953546317E-002  -1.7824415832787877E-002  -1.4613349687436092E-002
 53                  1995                5                     -1.2490052888667648E-002  -2.3403871900058541E-002  -1.4613349687436092E-002
 54                  1995                6                    -0.75905920843808283       -1.4460654956315009       -2.1100126999174571     
 55                  1995                7                     -1.4460654956315009       -1.4460654956315009       -2.1100126999174571     
 56                  1995                8                     -1462529.7181133376       -1462529.7181133376       -1462529.7181133376     
 57                  1995                9                     -13.294431410283833       -1506.4070003314839       -86.074487119649589     
 58                  1995                10                   -0.11469621937995542      -0.37017696804967776      -0.31192690522163746     
 59                  1995                11                    -1.6898685666767249E-002  -5.2870926500710833E-002  -7.4890028291836511E-002
 60                  1995                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 61                  1996                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 62                  1996                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 63                  1996                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 64                  1996                4                     -8.0970436334653981E-003  -1.8806999790618145E-002  -1.4049373541627675E-002
 65                  1996                5                     -1.4049373541627675E-002  -3.6137253385021974E-002  -2.0961389944487343E-002
 66                  1996                6                     -3.5061733240203896E-002  -5.8495482020845112E-002  -2.4065237187451516E-002
 67                  1996                7                     -3.9616173849755409E-002  -6.4898297799938429E-002  -2.9367276327710627E-002
 68                  1996                8                    -0.32992034692151800      -0.61400155758877695      -0.32992034692151800     
 69                  1996                9                     -5.2870926500710833E-002 -0.11469621937995542       -8.0624083680823036E-002
 70                  1996                10                    -2.5454960318188662E-002  -4.6387242690202661E-002  -2.8530336548934311E-002
 71                  1996                11                    -2.7721810581685349E-002  -7.7689472461976966E-002  -2.2763633734684974E-002
 72                  1996                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 73                  1997                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 74                  1997                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 75                  1997                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 76                  1997                4                     -8.7700192898940224E-003  -5.4861599863960464E-003  -7.8828884184068224E-003
 77                  1997                5                     -1.6455825647978067E-002  -1.2654113532352155E-002  -1.5607684616188160E-002
 78                  1997                6                    -0.10157472413786019       -6.9666537735106407E-002  -6.9666537735106407E-002
 79                  1997                7                    -0.47209240641412020      -0.29519289088974193      -0.22700893621763238     
 80                  1997                8                     -7.4890028291836511E-002  -6.2669549838837407E-002  -9.0324005902523832E-002
 81                  1997                9                     -2.5950227180164256       -1.3243263214213576       -1.2156629968213104     
 82                  1997                10                   -0.39272211688605324      -0.21591344673072080      -0.32992034692151800     
 83                  1997                11                    -4.4924267655811735E-002  -3.0233900656659096E-002  -3.5061733240203896E-002
 84                  1997                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 85                  1998                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 86                  1998                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 87                  1998                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 88                  1998                4                     -1.8308326102714829E-002  -1.5201493162280057E-002  -1.2654113532352155E-002
 89                  1998                5                     -3.6137253385021974E-002  -2.9367276327710627E-002  -2.2763633734684974E-002
 90                  1998                6                     -1.4422737265979832E-002  -1.5607684616188160E-002  -1.0541447962736494E-002
 91                  1998                7                     -3.8412464333400780E-002  -3.5061733240203896E-002  -2.4065237187451516E-002
 92                  1998                8                    -0.37017696804967776      -0.16224287340252283      -0.16224287340252283     
 93                  1998                9                    -0.70615495534830974       -1.7371588284184809       -1.3243263214213576     
 94                  1998                10                   -0.14826608838034860      -0.11709182132390566      -0.10787868742973847     
 95                  1998                11                    -5.2870926500710833E-002  -4.4214351649078866E-002  -3.9616173849755409E-002
 96                  1998                12                    -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 97                  1999                1                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 98                  1999                2                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 99                  1999                3                     -1439.0317162171177       -1439.0317162171177       -1439.0317162171177     
 100                 1999                4                     -3.9616173849755409E-002  -4.0866826154832850E-002  -2.4065237187451516E-002
 101                 1999                5                     -5.1148641072238717E-002  -5.8495482020845112E-002  -4.6387242690202661E-002
 102                 1999                6                    -0.65797255394414067      -0.75905920843808283      -0.37017696804967776     
 103                 1999                7                     -48.309893881319809       -85703.644820992675       -8.1265509016120294     
 104                 1999                8                    -0.95242230397310201      -0.39272211688605324      -0.29519289088974193     
 105                 1999                9                    -0.26508463402061905      -0.16224287340252283      -0.16224287340252283     
 106                 1999                10                    -6.9666537735106407E-002  -6.9666537735106407E-002  -4.6387242690202661E-002
