MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
010621	0.00003525	13.6033	0.270325	-0.0486705	3.7
010622	0.00003525	13.58935	0.270575	-0.04849525	3.7
010623	0.00003525	13.58935	0.2708	-0.0483635	3.7
010624	0.00003525	13.44985	0.27105	-0.0482035	3.7
010701	0.00003525	12.4315	0.2713	-0.0483835	3.7
010702	0.00003525	12.3199	0.27155	-0.04824075	3.7
010703	0.00003525	12.16645	0.27205	-0.04807425	3.7
010704	0.00003525	11.99905	0.272025	-0.04805925	3.7
010705	0.00003525	11.80375	0.272025	-0.04801	3.7
010706	0.00003525	11.60845	0.272275	-0.04793175	3.7
010707	0.00003525	11.5387	0.272275	-0.0478855	3.7
010708	0.00003525	11.60845	0.272275	-0.0478855	3.7
010709	0.00003525	11.97115	0.272	-0.0479525	3.7
010710	0.00003525	12.36175	0.27175	-0.0480295	3.7
010711	0.00003525	12.8779	0.2715	-0.048061	3.7
010712	0.00003525	13.28245	0.27125	-0.04849525	3.7
010713	0.00003525	13.4917	0.271	-0.0485735	3.7
010714	0.00003525	13.4917	0.270225	-0.04880225	3.7
010715	0.00003525	13.44985	0.270725	-0.04884325	3.7
010716	0.00003525	13.2964	0.274475	-0.04854575	3.7
010717	0.00003525	13.129	0.273975	-0.04886075	3.7
010718	0.00003525	12.85	0.272725	-0.0492775	3.7
010719	0.00003525	12.6268	0.27195	-0.049546	3.7
010720	0.00003525	12.52915	0.2717	-0.049571	3.7
010721	0.00003525	13.0453	0.27195	-0.04946625	3.7
010722	0.00003525	12.75235	0.27195	-0.049389	3.7
010723	0.00003525	12.64075	0.27195	-0.04931375	3.7
010724	0.00003525	12.5989	0.271925	-0.049277	3.7
010801	0.00003525	11.66425	0.271675	-0.04965375	3.7
010802	0.00003525	11.63635	0.271425	-0.0496805	3.7
010803	0.00003525	11.5945	0.271675	-0.049585	3.7
010804	0.00003525	11.52475	0.271425	-0.04961175	3.7
010805	0.00003525	11.4271	0.2714	-0.049648	3.7
010806	0.00003525	11.44105	0.2714	-0.04958175	3.7
010807	0.00003525	11.5387	0.2714	-0.04958175	3.7
010808	0.00003525	11.5666	0.27115	-0.0496095	3.7
010809	0.00003525	12.27805	0.27115	-0.04954525	3.7
010810	0.00003525	13.25455	0.271125	-0.04958175	3.7
010811	0.00003525	13.86835	0.270625	-0.049702	3.7
010812	0.00003525	13.7428	0.270125	-0.04982425	3.7
010813	0.00003525	14.1613	0.269375	-0.05004575	3.7
010814	0.00003525	14.62165	0.268625	-0.05034825	3.7
010815	0.00003525	14.56585	0.2676	-0.0507345	3.7
010816	0.00003525	14.34265	0.26635	-0.05122125	3.7
010817	0.00003525	14.0497	0.26535	-0.0517165	3.7
010818	0.00003525	13.53355	0.2641	-0.0522835	3.7
010819	0.00003525	13.3522	0.26285	-0.0532085	3.7
010820	0.00003525	13.3801	0.262075	-0.053707	3.7
010821	0.00003525	12.4036	0.261325	-0.05406275	3.7
010822	0.00003525	12.16645	0.261075	-0.054231	3.7
010823	0.00003525	11.9293	0.260575	-0.054434	3.7
010824	0.00003525	11.9572	0.260325	-0.05460975	3.7
010901	0.00003525	12.7663	0.2598	-0.05485775	3.7
010902	0.00003525	12.5989	0.2593	-0.05522975	3.7
010903	0.00003525	12.4594	0.25905	-0.05542225	3.7
010904	0.00003525	12.1804	0.25855	-0.0556515	3.7
010905	0.00003525	12.05485	0.25805	-0.05605975	3.7
010906	0.00003525	11.94325	0.257775	-0.056308	3.7
010907	0.00003525	11.7061	0.257275	-0.056557	3.7
010908	0.00003525	11.77585	0.257025	-0.056779	3.7
010909	0.00003525	12.3478	0.256525	-0.0572395	3.7
010910	0.00003525	13.2127	0.256275	-0.0572725	3.7
010911	0.00003525	13.966	0.25625	-0.0573095	3.7
010912	0.00003525	14.0218	0.2545	-0.059115	3.7
010913	0.00003525	14.4682	0.2535	-0.06030375	3.7
010914	0.00003525	15.04015	0.25325	-0.060337	3.7
010915	0.00003525	14.8867	0.25325	-0.060337	3.7
010916	0.00003525	14.78905	0.253725	-0.059764	3.7
010917	0.00003525	14.59375	0.253975	-0.05947075	3.7
010918	0.00003525	13.67305	0.254725	-0.05863625	3.7
010919	0.00003525	13.39405	0.255475	-0.0578635	3.7
010920	0.00003525	13.25455	0.256475	-0.05691925	3.7
010921	0.00003525	13.25455	0.2577	-0.05589825	3.7
010922	0.00003525	13.08715	0.2587	-0.0551365	3.7
010923	0.00003525	12.8779	0.25945	-0.05460925	3.7
010924	0.00003525	12.85	0.2602	-0.054116	3.7
011001	0.00003525	12.80815	0.26095	-0.05377125	3.7
011002	0.00003525	12.6268	0.261675	-0.053366	3.7
011003	0.00003525	12.5152	0.262175	-0.053086	3.7
011004	0.00003525	12.55705	0.262425	-0.0529505	3.7
011005	0.00003525	12.2641	0.262675	-0.0528175	3.7
011006	0.00003525	12.2641	0.263175	-0.0526545	3.7
011007	0.00003525	12.11065	0.2634	-0.05256425	3.7
011008	0.00003525	12.22225	0.26365	-0.05210325	3.7
011009	0.00003525	12.7663	0.2639	-0.05197825	3.7
011010	0.00003525	13.2964	0.2639	-0.05197825	3.7
011011	0.00003525	14.1892	0.2639	-0.05197825	3.7
011012	0.00003525	14.6077	0.263375	-0.05236575	3.7
011013	0.00003525	15.09595	0.262125	-0.0530585	3.7
011014	0.00003525	15.361	0.260625	-0.05399325	3.7
011015	0.00003525	15.37495	0.259125	-0.05506075	3.7
011016	0.00003525	15.23545	0.257875	-0.05607025	3.7
011017	0.00003525	14.67745	0.25685	-0.057007	3.7
011018	0.00003525	13.7149	0.2556	-0.0582635	3.7
011019	0.00003525	13.4638	0.2541	-0.06000125	3.7
011020	0.00003525	13.3243	0.2531	-0.061648	3.7
011021	0.00003525	13.1011	0.25235	-0.06277425	3.7
011022	0.00003525	13.00345	0.252325	-0.06281175	3.7
011023	0.00003525	13.0732	0.252575	-0.0624255	3.7
011024	0.00003525	12.9337	0.253325	-0.061238	3.7
011101	0.00003525	13.0453	0.253825	-0.06053875	3.7
011102	0.00003525	12.8221	0.254325	-0.05987675	3.7
011103	0.00003525	12.6268	0.2548	-0.059288	3.7
011104	0.00003525	12.4873	0.2553	-0.05869375	3.7
011105	0.00003525	12.30595	0.25605	-0.05785925	3.7
011106	0.00003525	12.1525	0.2568	-0.0570865	3.7
011107	0.00003525	11.88745	0.2573	-0.05660275	3.7
011108	0.00003525	11.7061	0.258275	-0.05574175	3.7
011109	0.00003525	12.38965	0.258775	-0.05532375	3.7
011110	0.00003525	12.8221	0.259775	-0.05454425	3.7
011111	0.00003525	13.39405	0.260775	-0.0535705	3.7
011112	0.00003525	14.0218	0.261775	-0.0529055	3.7
011113	0.00003525	14.17525	0.26275	-0.05245	3.7
011114	0.00003525	14.4403	0.26325	-0.052158	3.7
011115	0.00003525	14.4403	0.264	-0.0517425	3.7
011116	0.00003525	14.25895	0.26425	-0.0516095	3.7
